VAL_ALTURA;COD_ESTRUTURA_SAP;NOM_ESTRUTURA_SAP;COD_LT_SAP;NOM_LT_SAP;NUM_LATITUDE;NUM_LONGITUDE;NUM_ALTITUDE_ORT;NUM_ALTITUDE_GEO;NUM_ID_SEQUENCIA;NUM_QTD_CIRCUITOS;TAG_ATIVO;DES_TIP_ESTRUTURA;DES_CARACTERISTICA1;DES_CARACTERISTICA2;DES_TIP_CIRCUITO;DES_DISPOSICAO_FASES_CIRCUITO_A;OBJECTID;Custom
0;PORT00136-2;Pórtico Itabira 5;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.600438;-43.331267;756.62;0;0;0;1;;;;;;1605194;Pórtico Itabira 5 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12509-6;ESTRUTURA 001;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.601213;-43.33071;770.73;0;1;0;1;S2DAT;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605195;ESTRUTURA 001 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12510-4;ESTRUTURA 002;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.602036;-43.329981;769.69;0;2;0;1;S2DAT;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605196;ESTRUTURA 002 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12511-2;ESTRUTURA 003;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.603949;-43.326824;825.32;0;3;0;1;S2DAT;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605197;ESTRUTURA 003 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12512-0;ESTRUTURA 004;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.603365;-43.325168;809.05;0;4;0;1;S2DSL;Suspensão;Autoportante;Circuito Duplo;Vertical;1605198;ESTRUTURA 004 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12513-8;ESTRUTURA 005;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.601418;-43.319647;847.31;0;5;0;1;S2DSL;Suspensão;Autoportante;Circuito Duplo;Vertical;1605199;ESTRUTURA 005 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12514-6;ESTRUTURA 006;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.60035;-43.316619;869.95;0;6;0;1;S2DSL;Suspensão;Autoportante;Circuito Duplo;Vertical;1605200;ESTRUTURA 006 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12515-3;ESTRUTURA 007;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.599434;-43.314019;891.47;0;7;0;1;S2DSL;Suspensão;Autoportante;Circuito Duplo;Vertical;1605201;ESTRUTURA 007 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12516-1;ESTRUTURA 008;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.597534;-43.308632;1062.13;0;8;0;1;S2DSL;Suspensão;Autoportante;Circuito Duplo;Vertical;1605202;ESTRUTURA 008 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12517-9;ESTRUTURA 009;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.596809;-43.306577;1089.57;0;9;0;1;S2DSL;Suspensão;Autoportante;Circuito Duplo;Vertical;1605203;ESTRUTURA 009 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12518-7;ESTRUTURA 010;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.595694;-43.303415;1102.86;0;10;0;1;S2DAT;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605204;ESTRUTURA 010 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12519-5;ESTRUTURA 011;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.5973;-43.29935;1072.23;0;11;0;1;S2DSL;Suspensão;Autoportante;Circuito Duplo;Vertical;1605205;ESTRUTURA 011 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12520-3;ESTRUTURA 012;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.598914;-43.295265;1029.9;0;12;0;1;S2DAT;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605206;ESTRUTURA 012 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12521-1;ESTRUTURA 013;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.598926;-43.292637;1014.74;0;13;0;1;S2DSL;Suspensão;Autoportante;Circuito Duplo;Vertical;1605207;ESTRUTURA 013 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12522-9;ESTRUTURA 014;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.598943;-43.28911;1029.13;0;14;0;1;S2DSL;Suspensão;Autoportante;Circuito Duplo;Vertical;1605208;ESTRUTURA 014 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12523-7;ESTRUTURA 015;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.598954;-43.286848;1025.29;0;15;0;1;S2DAT;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605209;ESTRUTURA 015 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12524-5;ESTRUTURA 016;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.600332;-43.285049;1007.41;0;16;0;1;S2DAT;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605210;ESTRUTURA 016 : LT Itabira 4 - Itabira 5 - 230 KV
0;ESTR12525-2;ESTRUTURA 017;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.600709;-43.284825;1004.71;0;17;0;1;S2DTE;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605211;ESTRUTURA 017 : LT Itabira 4 - Itabira 5 - 230 KV
45.879028;ESTC12021-2;ESTRUTURA 130A;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.600911;-43.285425;1025.004028;1016.224028;18;2;1;T43;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605212;ESTRUTURA 130A : LT Itabira 4 - Itabira 5 - 230 KV
36.501953;ESTC12022-0;ESTRUTURA 131A;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.601947;-43.285417;1032.744995;1023.964995;19;2;1;T43;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605213;ESTRUTURA 131A : LT Itabira 4 - Itabira 5 - 230 KV
22.504631;PORT00107-3;Pórtico Itabira 4;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;-19.602509;-43.285524;1021.189026;1012.419026;20;1;1;;;;;;1605214;Pórtico Itabira 4 : LT Itabira 4 - Itabira 5 - 230 KV
