COD_SE_SAP;NOM_SE_SAP;NUM_LATITUDE;NUM_LONGITUDE;NUM_LATITUDE_PORT;NUM_LONGITUDE_PORT;NUM_ALTITUDE_ORT_PORT;NUM_ALTITUDE_GEO_PORT;NUM_ALTITUDE_ORT;NUM_ALTITUDE_GEO;ID_SUBESTACAO;TAG_ATIVO
MT-S-72183;Baguari_230 KV;-19.0132369308;-42.1233369159;-19.013773;-42.122958;190.204;179.154;190.255;179.205;11990;1
MT-S-44302;Barão de Cocais 3;-19.8530259067;-43.4415225904;-19.853612;-43.441057;744.691;737.071;743.657;736.037;11991;1
MT-S-41205;Barbacena 2;-21.1864483149;-43.7543687853;-21.185918;-43.754114;1142.555;1138.945;1148.049;1144.439;11992;1
MT-S-41206;Barreiro 1;-20.0004853242;-43.9909115101;-19.998878;-43.991466;1081.767;1075.847;1081.788;1075.868;11993;1
MT-S-70113;Bom Despacho 3;-19.79339995;-45.3114544442;-19.792192;-45.312243;725.397;717.237;726.988;718.828;11994;1
MT-S-74102;Conselheiro Pena;-19.1802467157;-41.4825167112;-19.180088;-41.481767;124.869;115.069;123.191;113.391;11995;1
MT-S-42605;Cons. Lafaiete 1;-20.663535198;-43.8228388384;-20.662502;-43.822858;1045.986;1041.726;1047.271;1043.011;11996;1
MT-S-41103;Emborcação;-18.4573874009;-47.9870115414;-18.456498;-47.984517;691.697;680.737;692.296;681.336;11997;1
MT-S-43604;Governador Valadares 2;-18.8497719391;-41.9800479276;-18.848707;-41.979715;179.001;167.961;177.224;166.184;11998;1
MT-S-70277;Guilman Amorim;-19.6751090011;-42.9236251325;-19.675649;-42.923813;515.449;505.539;515.326;505.416;11999;1
MT-S-41401;Ipatinga 1;-19.4389129473;-42.5576136193;-19.437592;-42.557453;266.271;255.241;273.522;262.492;12000;1
MT-S-42503;Itabira 2;-19.5953783751;-43.1995934928;-19.596385;-43.199776;802.675;793.585;802.502;793.412;12001;1
MT-S-70177;Itabira 4;-19.602878448;-43.2854305361;-19.602384;-43.285142;1021.238;1012.468;1021.177;1012.407;12002;1
MT-S-40313;Itajubá 3;-22.4679345681;-45.5154982031;-22.467272;-45.516946;894.841;892.501;897.555;895.215;12003;1
MT-S-41207;Itutinga;-21.2962078752;-44.6291123937;-21.296606;-44.628299;884.517;880.837;875.931;872.251;12004;1
MT-S-41101;Jaguara (intermediária_500 kV);-20.0129638865;-47.4381951588;-20.013481;-47.43685;538.378;530.248;540.009;531.879;12005;1
MT-S-41210;Jaguara (Abaixadora_345 kV);-20.0190180143;-47.4377449709;-20.018478;-47.439723;577.871;569.761;577.925;569.815;12006;1
MT-S-70157;Jeceaba;-20.5836264066;-43.969945427;-20.58403;-43.968863;916.271;912.021;916.438;912.188;12007;1
MT-S-41301;João Monlevade 2;-19.8167532304;-43.1345827033;-19.816289;-43.135339;695.355;686.515;695.671;686.831;12008;1
MT-S-71113;Juiz de Fora 1;-21.711080299;-43.4028436257;-21.712239;-43.403317;691.4;687.21;691.012;686.822;12009;1
MT-S-41102;Mesquita;-19.4167127338;-42.5485030103;-19.417515;-42.549956;306.874;295.804;309.03;297.96;12010;1
MT-S-41209;Montes Claros 2;-16.6699787886;-43.8252728885;-16.669682;-43.826373;618.041;606.001;623.099;611.059;12011;1
MT-S-41203;Neves 1;-19.8233313168;-44.103713111;-19.825215;-44.102905;940.542;933.952;938.323;931.733;12012;1
MT-S-42518;Nova Era 2;-19.7036981954;-43.0471540139;-19.703826;-43.047463;662.099;652.689;664.542;655.132;12013;1
MT-S-70178;Nova Lima 6;-20.1909482913;-43.8637448586;-20.189779;-43.862989;1283.023;1277.883;1282.392;1277.252;12014;1
MT-S-40327;Nova Ponte;-19.1346069132;-47.6998628385;-19.135617;-47.700913;750.74;741.39;752.933;743.583;12015;1
MT-S-42507;Ouro Preto 2;-20.2975158423;-43.7587263354;-20.29598;-43.759013;1070.943;1065.863;1069.337;1064.257;12016;1
MT-S-41201;Pimenta;-20.4681966721;-45.7934899585;-20.468526;-45.792978;788.635;781.615;788.883;781.863;12017;1
MT-S-40136;Porto Estrela (Seccionador);-19.1200194326;-42.6670068837;-19.119819;-42.667501;354.91;343.7;355.15;343.94;12018;1
MT-S-40163;Sabará 3;-19.8673459366;-43.7356110777;-19.866745;-43.735726;1063.716;1057.016;1063.451;1056.751;12019;1
MT-S-41107;São Gonçalo Pará;-20.0731455415;-44.8410406251;-20.07364;-44.839402;790.394;784.094;790.376;784.076;12020;1
MT-S-41105;São Gotardo 2;-19.33736462;-46.0140373918;-19.336636;-46.012891;1155.697;1147.517;1155.65;1147.47;12021;1
MT-S-41150;São Simão;-19.0220757394;-50.4916671644;-19.020829;-50.489933;351.827;344.377;353.419;345.969;12022;1
MT-S-70214;Sete Lagoas 4 (G. Cobra);-19.5171776367;-44.324295918;-19.518548;-44.324096;836.461;828.661;831.788;823.988;12023;1
