COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS02953-8;Vão entre Pórtico inicial e T001;;PORT00079-4;-19.5954226838;-43.2000709709;802.587;793.497;Pórtico Itabira 2;ESTR03373-8;-19.5951581311;-43.2006313088;782.834;773.744;0;ESTRUTURA 001;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.5952904074;-43.2003511398;0;66.1972163278;44.22238342;31.27926089;796.295;787.205;2387314;1;
VLTS02994-2;Vão entre T040 e T041;;ESTR03525-3;-19.6999442197;-43.0862351957;661.672;652.362;ESTRUTURA 040;ESTR03526-1;-19.7010435392;-43.0824519181;649.009;639.689;41;ESTRUTURA 041;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.7004938794;-43.0843435569;0;418.286802142;10.6082828;9.373951031;629.647;620.337;2387315;1;
VLTS02993-4;Vão entre T039 e T040;;ESTR03524-6;-19.6984521034;-43.0913706365;798.415;789.115;ESTRUTURA 039;ESTR03525-3;-19.6999442197;-43.0862351957;661.672;652.362;40;ESTRUTURA 040;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6991981615;-43.0888029161;0;567.780031784;27.38172317;26.01447598;698.952;689.652;2387316;1;
VLTS02992-6;Vão entre T038 e T039;;ESTR03523-8;-19.6973412659;-43.0951996744;852.243;842.953;ESTRUTURA 038;ESTR03524-6;-19.6984521034;-43.0913706365;798.415;789.115;39;ESTRUTURA 039;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6978966846;-43.0932851554;0;423.28616794;26.9777285;24.55242053;774.507;765.217;2387317;1;
VLTS02991-8;Vão entre T037 e T038;;ESTR03522-0;-19.6968351452;-43.096936648;830.938;821.648;ESTRUTURA 037;ESTR03523-8;-19.6973412659;-43.0951996744;852.243;842.953;38;ESTRUTURA 038;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6970882056;-43.0960681612;0;192.088194367;15.58605147;12.31882057;845.755;836.465;2387318;1;
VLTS02990-0;Vão entre T036 e T037;;ESTR03521-2;-19.6958806274;-43.1002144235;750.313;741.033;ESTRUTURA 036;ESTR03522-0;-19.6968351452;-43.096936648;830.938;821.648;37;ESTRUTURA 037;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6963578863;-43.0985755358;0;362.463292002;25.75267515;22.84948623;785.938;776.658;2387319;1;
VLTS02989-2;Vão entre T035 e T036;;ESTR03520-4;-19.6936997165;-43.1077175171;762.315;753.055;ESTRUTURA 035;ESTR03521-2;-19.6958806274;-43.1002144235;750.313;741.033;36;ESTRUTURA 036;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6947901719;-43.1039659703;0;829.5727126;17.46682626;17.37701805;631.91;622.64;2387320;1;
VLTS02988-4;Vão entre T034 e T035;;ESTR03519-6;-19.6911916807;-43.1163501338;703.935;694.695;ESTRUTURA 034;ESTR03520-4;-19.6936997165;-43.1077175171;762.315;753.055;35;ESTRUTURA 035;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6924456986;-43.1120338255;0;954.414754425;10.77329955;10.56993299;669.32;660.07;2387321;1;
VLTS02987-6;Vão entre T033 e T034;;ESTR03518-8;-19.690224039;-43.1196842704;717.847;708.617;ESTRUTURA 033;ESTR03519-6;-19.6911916807;-43.1163501338;703.935;694.695;34;ESTRUTURA 034;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6907078598;-43.1180172021;0;368.584706789;13.19833211;9.477604295;708.367;699.137;2387322;1;
VLTS03001-5;Vão entre T047 e Pórtico Final;;ESTR03532-9;-19.7036276885;-43.0554884088;659.466;650.086;ESTRUTURA 047;PORT00086-9;-19.7038827949;-43.0471780847;669.139;659.729;48;Pórtico Nova Era 2;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.7037552417;-43.0513332467;0;878.900215106;15.19615295;14.9720068;538.711;529.311;2387323;1;
VLTS03000-7;Vão entre T046 e T047;;ESTR03531-1;-19.7035473503;-43.0581616277;632.992;623.612;ESTRUTURA 046;ESTR03532-9;-19.7036276885;-43.0554884088;659.466;650.086;47;ESTRUTURA 047;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.7035875194;-43.0568250183;0;282.71051082;20.79762013;18.04177703;634.421;625.041;2387324;1;
VLTS02999-1;Vão entre T045 e T046;;ESTR03530-3;-19.7033828788;-43.0636019265;663.566;654.206;ESTRUTURA 045;ESTR03531-1;-19.7035473503;-43.0581616277;632.992;623.612;46;ESTRUTURA 046;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.7034651146;-43.0608817771;0;575.34628751;16.64822998;14.64578843;591.292;581.922;2387325;1;
VLTS02998-3;Vão entre T044 e T045;;ESTR03529-5;-19.7033011008;-43.066283596;625.524;616.174;ESTRUTURA 044;ESTR03530-3;-19.7033828788;-43.0636019265;663.566;654.206;45;ESTRUTURA 045;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.7033419898;-43.0649427613;0;283.603891731;22.64213966;18.25327561;645.653;636.293;2387326;1;
VLTS02997-5;Vão entre T043 e T044;;ESTR03528-7;-19.7030251615;-43.0751766264;764.059;754.729;ESTRUTURA 043;ESTR03529-5;-19.7033011008;-43.066283596;625.524;616.174;44;ESTRUTURA 044;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.7031631312;-43.0707301112;0;940.501975873;21.35667872;20.72148757;597.664;588.324;2387327;1;
VLTS02996-7;Vão entre T042 e T043;;ESTR03527-9;-19.7029536328;-43.075876631;774.508;765.178;ESTRUTURA 042;ESTR03528-7;-19.7030251615;-43.0751766264;764.059;754.729;43;ESTRUTURA 043;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.7029893972;-43.0755266287;0;74.4195554644;29.0259086;18.68191756;773.785;764.455;2387328;1;
VLTS02995-9;Vão entre T041 e T042;;ESTR03526-1;-19.7010435392;-43.0824519181;649.009;639.689;ESTRUTURA 041;ESTR03527-9;-19.7029536328;-43.075876631;774.508;765.178;42;ESTRUTURA 042;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.701998586;-43.0791642746;0;726.962167528;22.95414925;22.76294522;661.716;652.396;2387329;1;
VLTS02976-9;Vão entre T022 e T023;;ESTR03395-1;-19.653565727;-43.1578567497;705.538;696.408;ESTRUTURA 022;ESTR03396-9;-19.6568207517;-43.1550686917;738.71;729.58;23;ESTRUTURA 023;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6551932393;-43.1564627207;0;467.755103577;17.86511826;16.97875649;690.764;681.634;2387330;1;
VLTS02986-8;Vão entre T032 e T033;;ESTR03517-0;-19.6892668853;-43.1229702484;707.384;698.164;ESTRUTURA 032;ESTR03518-8;-19.690224039;-43.1196842704;717.847;708.617;33;ESTRUTURA 033;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6897454621;-43.1213272594;0;363.374512551;15.81287596;13.20703526;679.516;670.296;2387331;1;
VLTS02985-0;Vão entre T031 e T032;;ESTR03516-2;-19.6875988619;-43.1287077077;828.33;819.13;ESTRUTURA 031;ESTR03517-0;-19.6892668853;-43.1229702484;707.384;698.164;32;ESTRUTURA 032;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6884328736;-43.1258389781;0;634.361088298;22.36502248;22.03429602;691.072;681.862;2387332;1;
VLTS02984-3;Vão entre T030 e T031;;ESTR03515-4;-19.6866318782;-43.1295387785;807.666;798.466;ESTRUTURA 030;ESTR03516-2;-19.6875988619;-43.1287077077;828.33;819.13;31;ESTRUTURA 031;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.68711537;-43.1291232431;0;139.142365521;22.21968275;17.16155961;821.965;812.765;2387333;1;
VLTS02983-5;Vão entre T029 e T030;;ESTR03514-7;-19.6823491225;-43.1332094337;721.105;711.915;ESTRUTURA 029;ESTR03515-4;-19.6866318782;-43.1295387785;807.666;798.466;30;ESTRUTURA 030;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6844905004;-43.1313741061;0;615.584096821;16.21111239;14.8301427;741.151;731.961;2387334;1;
VLTS02982-7;Vão entre T028 e T029;;ESTR03401-7;-19.67696199;-43.1378257029;795.214;786.034;ESTRUTURA 028;ESTR03514-7;-19.6823491225;-43.1332094337;721.105;711.915;29;ESTRUTURA 029;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6796555563;-43.1355175683;0;774.26327938;21.54409073;21.50470059;639.058;629.878;2387335;1;
VLTS02981-9;Vão entre T027 e T028;;ESTR03400-9;-19.6730377525;-43.141185724;747.426;738.256;ESTRUTURA 027;ESTR03401-7;-19.67696199;-43.1378257029;795.214;786.034;28;ESTRUTURA 028;MT-L-30303;LT Itabira 2 - Nova Era 2 230 kV;30;30;-19.6749998713;-43.1395057135;0;563.832330562;19.22078249;17.65241094;710.367;701.197;2387336;1;
